b,30.83,0,0,5,w,v,1.25,1,1,1,3,5,202,0,1
a,58.67,4.46,0,5,q,h,3.04,1,1,6,3,5,43,560,1
a,24.5,0.5,0,5,q,h,1.5,1,3,0,3,5,280,824,1
b,27.83,1.54,0,5,w,v,3.75,1,1,5,1,5,100,3,1
b,20.17,5.625,0,5,w,v,1.71,1,3,0,3,s,120,0,1
b,32.08,4,0,5,m,v,2.5,1,3,0,1,5,360,0,1
b,33.17,1.04,0,5,r,h,6.5,1,3,0,1,5,164,31285,1
a,22.92,11.585,0,5,cc,v,0.04,1,3,0,3,5,80,1349,1
b,54.42,0.5,4,p,k,h,3.96,1,3,0,3,5,180,314,1
b,42.5,4.915,4,p,w,v,3.165,1,3,0,1,5,52,1442,1
b,22.08,0.83,0,5,c,h,2.165,3,3,0,1,5,128,0,1
b,29.92,1.835,0,5,c,h,4.335,1,3,0,3,5,260,200,1
a,38.25,6,0,5,k,v,1,1,3,0,1,5,0,0,1
b,48.08,6.04,0,5,k,v,0.04,3,3,0,3,5,0,2690,1
a,45.83,10.5,0,5,q,v,5,1,1,7,1,5,0,0,1
b,36.67,4.415,4,p,k,v,0.25,1,1,10,1,5,320,0,1
b,28.25,0.875,0,5,m,v,0.96,1,1,3,1,5,396,0,1
a,23.25,5.875,0,5,q,v,3.17,1,1,10,3,5,120,245,1
b,21.83,0.25,0,5,d,h,0.665,1,3,0,1,5,0,0,1
a,19.17,8.585,0,5,cc,h,0.75,1,1,7,3,5,96,0,1
b,25,11.25,0,5,c,v,2.5,1,1,17,3,5,200,1208,1
b,23.25,1,0,5,c,v,0.835,1,3,0,3,s,300,0,1
a,47.75,8,0,5,c,v,7.875,1,1,6,1,5,0,1260,1
a,27.42,14.5,0,5,x,h,3.085,1,1,1,3,5,120,11,1
a,41.17,6.5,0,5,q,v,0.5,1,1,3,1,5,145,0,1
a,15.83,0.585,0,5,c,h,1.5,1,1,2,3,5,100,0,1
a,47,13,0,5,i,bb,5.165,1,1,9,1,5,0,0,1
b,56.58,18.5,0,5,d,bb,15,1,1,17,1,5,0,0,1
b,57.42,8.5,0,5,e,h,7,1,1,3,3,5,0,0,1
b,42.08,1.04,0,5,w,v,5,1,1,6,1,5,500,10000,1
b,29.25,14.79,0,5,aa,v,5.04,1,1,5,1,5,168,0,1
b,42,9.79,0,5,x,h,7.96,1,1,8,3,5,0,0,1
b,49.5,7.585,0,5,i,bb,7.585,1,1,15,1,5,0,5000,1
a,36.75,5.125,0,5,e,v,5,1,3,0,1,5,0,4000,1
a,22.58,10.75,0,5,q,v,0.415,1,1,5,1,5,0,560,1
b,27.83,1.5,0,5,w,v,2,1,1,11,1,5,434,35,1
b,27.25,1.585,0,5,cc,h,1.835,1,1,12,1,5,583,713,1
a,23,11.75,0,5,x,h,0.5,1,1,2,1,5,300,551,1
b,27.75,0.585,4,p,cc,v,0.25,1,1,2,3,5,260,500,1
b,54.58,9.415,0,5,33,33,14.415,1,1,11,1,5,30,300,1
b,34.17,9.17,0,5,c,v,4.5,1,1,12,1,5,0,221,1
b,28.92,15,0,5,c,h,5.335,1,1,11,3,5,0,2283,1
b,29.67,1.415,0,5,w,h,0.75,1,1,1,3,5,240,100,1
b,39.58,13.915,0,5,w,v,8.625,1,1,6,1,5,70,0,1
b,56.42,28,4,p,c,v,28.5,1,1,40,3,5,0,15,1
b,54.33,6.75,0,5,c,h,2.625,1,1,11,1,5,0,284,1
a,41,2.04,4,p,q,h,0.125,1,1,23,1,5,455,1236,1
b,31.92,4.46,0,5,cc,h,6.04,1,1,3,3,5,311,300,1
b,41.5,1.54,0,5,i,bb,3.5,3,3,0,3,5,216,0,1
b,23.92,0.665,0,5,c,v,0.165,3,3,0,3,5,100,0,1
a,25.75,0.5,0,5,c,h,0.875,1,3,0,1,5,491,0,1
b,26,1,0,5,q,v,1.75,1,3,0,1,5,280,0,1
b,37.42,2.04,0,5,w,v,0.04,1,3,0,1,5,400,5800,1
b,34.92,2.5,0,5,w,v,0,1,3,0,1,5,239,200,1
b,34.25,3,0,5,cc,h,7.415,1,3,0,1,5,0,0,1
b,23.33,11.625,4,p,w,v,0.835,1,3,0,1,5,160,300,1
b,23.17,0,0,5,cc,v,0.085,1,3,0,3,5,0,0,1
b,44.33,0.5,0,5,i,h,5,1,3,0,1,5,320,0,1
b,35.17,4.5,0,5,x,h,5.75,3,3,0,1,s,711,0,1
b,43.25,3,0,5,q,h,6,1,1,11,3,5,80,0,1
b,56.75,12.25,0,5,m,v,1.25,1,1,4,1,5,200,0,1
b,31.67,16.165,0,5,d,v,3,1,1,9,3,5,250,730,1
a,23.42,0.79,4,p,q,v,1.5,1,1,2,1,5,80,400,1
a,20.42,0.835,0,5,q,v,1.585,1,1,1,3,5,0,0,1
b,26.67,4.25,0,5,cc,v,4.29,1,1,1,1,5,120,0,1
b,34.17,1.54,0,5,cc,v,1.54,1,1,1,1,5,520,50000,1
a,36,1,0,5,c,v,2,1,1,11,3,5,0,456,1
b,25.5,0.375,0,5,m,v,0.25,1,1,3,3,5,260,15108,1
b,19.42,6.5,0,5,w,h,1.46,1,1,7,3,5,80,2954,1
b,35.17,25.125,0,5,x,h,1.625,1,1,1,1,5,515,500,1
b,32.33,7.5,0,5,e,bb,1.585,1,3,0,1,s,420,0,0
b,34.83,4,0,5,d,bb,12.5,1,3,0,1,5,0,0,0
a,38.58,5,0,5,cc,v,13.5,1,3,0,1,5,980,0,0
b,44.25,0.5,0,5,m,v,10.75,1,3,0,3,s,400,0,0
b,44.83,7,4,p,c,v,1.625,3,3,0,3,5,160,2,0
b,20.67,5.29,0,5,q,v,0.375,1,1,1,3,5,160,0,0
b,34.08,6.5,0,5,aa,v,0.125,1,3,0,1,5,443,0,0
a,19.17,0.585,4,p,aa,v,0.585,1,3,0,1,5,160,0,0
b,21.67,1.165,4,p,k,v,2.5,1,1,1,3,5,180,20,0
b,21.5,9.75,0,5,c,v,0.25,1,3,0,3,5,140,0,0
b,49.58,19,0,5,33,33,0,1,1,1,3,5,94,0,0
a,27.67,1.5,0,5,m,v,2,1,3,0,3,s,368,0,0
b,39.83,0.5,0,5,m,v,0.25,1,3,0,3,s,288,0,0
a,0,3.5,0,5,d,v,3,1,3,0,1,5,300,0,0
b,27.25,0.625,0,5,aa,v,0.455,1,3,0,1,5,200,0,0
b,37.17,4,0,5,c,bb,5,1,3,0,1,s,280,0,0
b,0,0.375,0,5,d,v,0.875,1,3,0,1,s,928,0,0
b,25.67,2.21,4,p,aa,v,4,1,3,0,3,5,188,0,0
b,34,4.5,0,5,aa,v,1,1,3,0,1,5,240,0,0
a,49,1.5,0,5,j,j,0,1,3,0,1,5,100,27,0
b,62.5,12.75,4,p,c,h,5,1,3,0,3,5,112,0,0
b,31.42,15.5,0,5,c,v,0.5,1,3,0,3,5,120,0,0
b,0,5,4,p,aa,v,8.5,1,3,0,3,5,0,0,0
b,52.33,1.375,4,p,c,h,9.46,1,3,0,1,5,200,100,0
b,28.75,1.5,4,p,c,v,1.5,1,3,0,1,5,0,225,0
a,28.58,3.54,0,5,i,bb,0.5,1,3,0,1,5,171,0,0
b,23,0.625,4,p,aa,v,0.125,1,3,0,3,5,180,1,0
b,0,0.5,0,5,c,bb,0.835,1,3,0,1,s,320,0,0
a,22.5,11,4,p,q,v,3,1,3,0,1,5,268,0,0
a,28.5,1,0,5,q,v,1,1,1,2,1,5,167,500,0
b,37.5,1.75,4,p,c,bb,0.25,1,3,0,1,5,164,400,0
b,35.25,16.5,4,p,c,v,4,1,3,0,3,5,80,0,0
b,18.67,5,0,5,q,v,0.375,1,1,2,3,5,0,38,0
b,25,12,0,5,k,v,2.25,1,1,2,1,5,120,5,0
b,27.83,4,4,p,i,h,5.75,1,1,2,1,5,75,0,0
b,54.83,15.5,0,5,e,z,0,1,1,20,3,5,152,130,0
b,28.75,1.165,0,5,k,v,0.5,1,3,0,3,s,280,0,0
a,25,11,4,p,aa,v,4.5,1,3,0,3,5,120,0,0
b,40.92,2.25,4,p,x,h,10,1,3,0,1,5,176,0,0
a,19.75,0.75,0,5,c,v,0.795,1,1,5,1,5,140,5,0
b,29.17,3.5,0,5,w,v,3.5,1,1,3,1,5,329,0,0
a,24.5,1.04,4,p,33,33,0.5,1,1,3,3,5,180,147,0
b,24.58,12.5,0,5,w,v,0.875,1,3,0,1,5,260,0,0
a,33.75,0.75,0,5,k,bb,1,1,1,3,1,5,212,0,0
b,20.67,1.25,4,p,c,h,1.375,1,1,3,1,5,140,210,0
a,25.42,1.125,0,5,q,v,1.29,1,1,2,3,5,200,0,0
b,37.75,7,0,5,q,h,11.5,1,1,7,1,5,300,5,0
b,52.5,6.5,0,5,k,v,6.29,1,1,15,3,5,0,11202,1
b,57.83,7.04,0,5,m,v,14,1,1,6,1,5,360,1332,1
a,20.75,10.335,0,5,cc,h,0.335,1,1,1,1,5,80,50,1
b,39.92,6.21,0,5,q,v,0.04,1,1,1,3,5,200,300,1
b,25.67,12.5,0,5,cc,v,1.21,1,1,67,1,5,140,258,1
a,24.75,12.5,0,5,aa,v,1.5,1,1,12,1,5,120,567,1
a,44.17,6.665,0,5,q,v,7.375,1,1,3,1,5,0,0,1
a,23.5,9,0,5,q,v,8.5,1,1,5,1,5,120,0,1
b,34.92,5,0,5,x,h,7.5,1,1,6,1,5,0,1000,1
b,47.67,2.5,0,5,m,bb,2.5,1,1,12,1,5,410,2510,1
b,22.75,11,0,5,q,v,2.5,1,1,7,1,5,100,809,1
b,34.42,4.25,0,5,i,bb,3.25,1,1,2,3,5,274,610,1
a,28.42,3.5,0,5,w,v,0.835,1,3,0,3,s,280,0,1
b,67.75,5.5,0,5,e,z,13,1,1,1,1,5,0,0,1
b,20.42,1.835,0,5,c,v,2.25,1,1,1,3,5,100,150,1
a,47.42,8,0,5,e,bb,6.5,1,1,6,3,5,375,51100,1
b,36.25,5,0,5,c,bb,2.5,1,1,6,3,5,0,367,1
b,32.67,5.5,0,5,q,h,5.5,1,1,12,1,5,408,1000,1
b,48.58,6.5,0,5,q,h,6,1,3,0,1,5,350,0,1
b,39.92,0.54,4,p,aa,v,0.5,1,1,3,3,5,200,1000,1
b,33.58,2.75,0,5,m,v,4.25,1,1,6,3,5,204,0,1
a,18.83,9.5,0,5,w,v,1.625,1,1,6,1,5,40,600,1
a,26.92,13.5,0,5,q,h,5,1,1,2,3,5,0,5000,1
a,31.25,3.75,0,5,cc,h,0.625,1,1,9,1,5,181,0,1
a,56.5,16,0,5,j,33,0,1,1,15,3,5,0,247,1
b,43,0.29,4,p,cc,h,1.75,1,1,8,3,5,100,375,1
b,22.33,11,0,5,w,v,2,1,1,1,3,5,80,278,1
b,27.25,1.665,0,5,cc,h,5.085,1,1,9,3,5,399,827,1
b,32.83,2.5,0,5,cc,h,2.75,1,1,6,3,5,160,2072,1
b,23.25,1.5,0,5,q,v,2.375,1,1,3,1,5,0,582,1
a,40.33,7.54,4,p,q,h,8,1,1,14,3,5,0,2300,1
a,30.5,6.5,0,5,c,bb,4,1,1,7,1,5,0,3065,1
a,52.83,15,0,5,c,v,5.5,1,1,14,3,5,0,2200,1
a,46.67,0.46,0,5,cc,h,0.415,1,1,11,1,5,440,6,1
a,58.33,10,0,5,q,v,4,1,1,14,3,5,0,1602,1
b,37.33,6.5,0,5,m,h,4.25,1,1,12,1,5,93,0,1
b,23.08,2.5,0,5,c,v,1.085,1,1,11,1,5,60,2184,1
b,32.75,1.5,0,5,cc,h,5.5,1,1,3,1,5,0,0,1
a,21.67,11.5,4,p,j,j,0,1,1,11,1,5,0,0,1
a,28.5,3.04,4,p,x,h,2.54,1,1,1,3,5,70,0,1
